"id","account_id","legacy_id","ear_tag","ear_tag_loc","tattoo_left","tattoo_right","brand","brand_loc","name","ph_number","ph_number_loc","reg_num","reg_num_2","other_id","other_id_loc","electronic_id","animal_type","sex","category_id","breed_id","horn_status","color_markings","ocv_tattoo","ocv_number","status","pasture_id","sire_animal_id","dam_animal_id","genetic_dam_animal_id","real_dam_animal_id","sire_legacy_id","dam_legacy_id","genetic_dam_legacy_id","breeder_contact_id","birth_date","weaning_date","yearling_date","percent_dam_weight","conception_method","grafted_calf","purchase_date","purchased","purchased_from_contact_id","purchase_price","sale_ticket_id","sale_price","sale_weight","marketing_cost","reason_for_sale","death_date","cause_of_death","asking_price","marketing_comments","mppa","avg_calving_interval","avg_post_partum_interval","last_breeding_date","last_calving_date","current_breeding_status","next_calving_date","pelvic_area","pelvic_horizontal","pelvic_vertical","comments","donor_cow","ai_bull","promote_date","demote_date","birth_weight","weaning_weight","yearling_weight","adj_birth_weight","adj_weaning_weight","adj_yearling_weight","last_tip_to_tip","last_total_horn","last_base","last_composite","last_horn_measure_date","last_weight","last_height","last_bcs","last_weight_date","created_at","updated_at","embryo_recovery_date","nait_number","nlis_number","last_treatment_date","withdrawal_date","castration_date","next_booster_date","breeding_id","pelvic_measure_date","embryo_transfer_date"
"33853209","48210","","10E-WHITE","","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Solid Black","","","Sold","","28079199","24289310","","24289310","","","","1448677","2017-02-06","","","","NS","false","","false","","","1094778","308.0","220","16.45","","","","","","","","","","","","","","","","","false","false","","","65","","","73","","","","","","","","65","","","2017-02-06","2017-02-06 16:17:40 -0600","2017-05-02 18:05:03 -0500","","","","","","","","","",""
"33853374","48210","","11E-WHITE","","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Light Red","","","Active","","28079199","22166194","","22166194","","","","1448677","2017-02-06","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","90","","","","","","","","","","","90","","","2017-02-06","2017-02-06 16:33:31 -0600","2017-02-10 10:14:04 -0600","","","","","","","","","",""
"33853479","48210","","12E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Black w/White Mottled Throat ","","","Active","492651","22294328","24289394","","24289394","","","","1448677","2017-02-06","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","95","","","103","","","","","","","","95","","","2017-02-06","2017-02-06 16:44:38 -0600","2017-09-29 19:46:13 -0500","","","","","","","","","",""
"33853713","48210","","13E-WHITE","","","","","","","","","","","","","","Calf","Heifer","","958480","Polled","Solid Black","","","Sold","","28079199","24513143","","24513143","","","","1448677","2017-02-06","","","","NS","false","","false","","","1139106","","","","","","","","","","","","","","","","","","","","false","false","","","75","","","80","","","","","","","","75","","","2017-02-06","2017-02-06 16:53:46 -0600","2017-09-19 07:04:30 -0500","","","","","","","","","",""
"33894531","48210","","130E-WHITE","LE","","","","","","","","","","","","","Calf","Heifer","","953217","Horned","Solid Black","","","Active","","28079220","21819877","","21819877","","","","1448677","2017-02-08","2017-09-25","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","82","586","","84","551","","","","","","","586","","","2017-09-25","2017-02-08 08:43:43 -0600","2017-10-02 07:03:08 -0500","","","","2017-09-19","","","","","",""
"33915591","48210","","14E-WHITE","LE","","","","","","","","","","","","","Calf","Heifer","","958480","Polled","Solid Black","","","Active","403501","28079199","19610778","","19610778","","","","1448677","2017-02-08","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","80","","","80","","","","","","","","80","","","2017-02-08","2017-02-08 17:17:41 -0600","2017-02-08 17:18:49 -0600","","","","","","","","21373413","",""
"33915615","48210","","17E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Solid Black","","","Sold","","28079199","20565319","","20565319","","","","1448677","2017-02-08","","","","NS","false","","false","","","1139106","","","","","","","","","","","","","","","","","","","","false","false","","","70","","","75","","","","","","","","70","","","2017-02-08","2017-02-08 17:21:32 -0600","2017-09-19 07:10:23 -0500","","","","","","","","","",""
"33916884","48210","","21E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Solid Black","","","Active","","28079199","19610805","","19610805","","","","1448677","2017-02-08","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","75","","","75","","","","","","","","75","","","2017-02-08","2017-02-08 20:03:36 -0600","2017-02-15 18:48:08 -0600","","","","","","","","","",""
"33934230","48210","","16E-WHITE","LE","","","","","","","","","","","","","Calf","Heifer","","958480","Polled","Solid Black","","","Sold","","28079199","24513188","","24513188","","","","1448677","2017-02-08","","","","NS","false","","false","","","1139106","","","","","","","","","","","","","","","","","","","","false","false","","","70","","","75","","","","","","","","70","","","2017-02-08","2017-02-09 09:49:05 -0600","2017-09-19 07:00:05 -0500","","","","","","","","","",""
"33953046","48210","","18E-WHITE","LE","","","","","","","","","","","","","Calf","Bull","","958480","Polled","Solid Black","","","Active","443994","28079199","19727674","","19727674","","","","1448677","2017-02-08","","","","NS","false","","false","","","","","","","","","","","","","","","","","","","","","","","false","false","","","93","","","93","","","","","","","","93","","","2017-02-08","2017-02-09 16:17:49 -0600","2017-02-09 16:20:29 -0600","","","","","","","","","",""
