"id","animal_id","moved_from_pasture_id","moved_to_pasture_id","movement_date"
"50893460","25873070","0","328918","2015-04-19"
"50971310","25897484","0","328918","2015-04-21"
"51060542","25953590","0","328918","2015-04-24"
"51114935","25971623","0","328918","2015-04-26"
"51156209","25984508","0","327829","2015-04-27"
"51156869","25984688","0","328918","2015-04-27"
"51156911","25984700","0","328918","2015-04-27"
"51240305","26016308","0","328918","2015-05-01"
"51302267","26028827","0","328918","2015-05-03"
"51302363","26028932","0","328918","2015-05-03"
"51308348","24513113","327829","397304","2015-05-01"
"51308351","24513116","327829","397304","2015-05-01"
"51308354","24513119","327829","397304","2015-05-01"
"51308357","24513122","327829","397304","2015-05-01"
"51308360","24513125","327829","397304","2015-05-01"
"51308363","24513128","327829","397304","2015-05-01"
"51308366","24513131","327829","397304","2015-05-01"
"51308369","24513134","327829","397304","2015-05-01"
"51308372","24513137","327829","397304","2015-05-01"
"51308375","24513140","327829","397304","2015-05-01"
"51308378","24513143","327829","397304","2015-05-01"
"51308381","24513146","327829","397304","2015-05-01"
"51308384","24513149","327829","397304","2015-05-01"
"51308387","24513152","327829","397304","2015-05-01"
"51308390","24513155","327829","397304","2015-05-01"
"51308393","24513158","327829","397304","2015-05-01"
"51308396","24513161","327829","397304","2015-05-01"
"51308399","24513164","327829","397304","2015-05-01"
"51308402","24513167","327829","397304","2015-05-01"
"51308405","24513170","327829","397304","2015-05-01"
"51308408","24513173","327829","397304","2015-05-01"
"51308411","24513176","327829","397304","2015-05-01"
"51308414","24513179","327829","397304","2015-05-01"
"51308417","24513182","327829","397304","2015-05-01"
"51308420","24513185","327829","397304","2015-05-01"
"51308423","24513188","327829","397304","2015-05-01"
"51308426","24513191","327829","397304","2015-05-01"
"51308429","24513194","327829","397304","2015-05-01"
"51308432","24289301","327829","397304","2015-05-03"
"51308435","24289304","327829","397304","2015-05-03"
"51308438","24289307","327829","397304","2015-05-03"
"51308441","24289310","327829","397304","2015-05-03"
"51308444","24289313","327829","397304","2015-05-03"
"51308447","24289316","327829","397304","2015-05-03"
"51308450","24289319","327829","397304","2015-05-03"
"51308453","24289322","327829","397304","2015-05-03"
"51308456","24289325","327829","397304","2015-05-03"
"51308459","24289328","327829","397304","2015-05-03"
"51308462","24289331","327829","397304","2015-05-03"
"51308465","24289334","327829","397304","2015-05-03"
"51308468","24289337","327829","397304","2015-05-03"
"51308471","24289340","327829","397304","2015-05-03"
"51308474","24289343","327829","397304","2015-05-03"
"51308477","24289346","327829","397304","2015-05-03"
"51308480","24289349","327829","397304","2015-05-03"
"51308483","24289352","327829","397304","2015-05-03"
"51308486","24289355","327829","397304","2015-05-03"
"51308489","25731950","327829","397304","2015-05-03"
"51308492","24289358","327829","397304","2015-05-03"
"51308495","24289361","327829","397304","2015-05-03"
"51308498","24289364","327829","397304","2015-05-03"
"51308501","24289367","327829","397304","2015-05-03"
"51308504","24289370","327829","397304","2015-05-03"
"51308507","24289373","327829","397304","2015-05-03"
"51308510","24289376","327829","397304","2015-05-03"
"51308513","24289379","327829","397304","2015-05-03"
"51308516","24289382","327829","397304","2015-05-03"
"51308519","24289385","327829","397304","2015-05-03"
"51308522","24289388","327829","397304","2015-05-03"
"51308525","24289391","327829","397304","2015-05-03"
"51308528","24289394","327829","397304","2015-05-03"
"51308531","24289397","327829","397304","2015-05-03"
"51308534","24289400","327829","397304","2015-05-03"
"51308537","26030204","0","397304","2015-05-03"
"51308540","26030210","0","397304","2015-05-03"
"51395438","26062430","0","328918","2015-05-05"
"51395444","26062436","0","327829","2015-05-05"
"51469673","26076857","0","327829","2015-05-07"
"51547976","26076857","327829","328918","2015-05-10"
"51548354","26093408","0","397304","2015-05-10"
"51918701","26213075","0","328918","2015-05-21"
"52053623","20486326","338297","397304","2015-05-07"
"52053629","20509930","328918","397304","2015-05-07"
"52053632","20510275","328918","397304","2015-05-07"
"52053638","20512942","338297","397304","2015-05-07"
"52053644","20565319","328918","397304","2015-05-07"
"52060775","19607058","327829","397304","2015-05-07"
"52062530","22189510","327829","328918","2015-04-30"
"52062554","25578134","327829","328918","2015-04-30"
"52062557","22603205","327829","328918","2015-04-30"
"52062560","22603223","327829","338297","2015-04-30"
"52062563","25984508","327829","328918","2015-04-30"
"52062566","22603226","327829","328918","2015-04-30"
"52062569","25759949","327829","328918","2015-04-30"
"52062572","22603208","327829","328918","2015-04-30"
"52062605","26062436","327829","328918","2015-04-30"
"52062608","22302635","327829","328918","2015-04-30"
"52062611","22302638","327829","328918","2015-04-30"
"52062617","26031119","0","328918","2015-04-29"
"52062620","20493667","327829","328918","2015-04-29"
"52062629","20493472","327829","328918","2015-04-30"
"52062665","21818383","338297","327829","2015-05-01"
"52062668","21818413","338297","327829","2015-05-01"
"52062671","21818455","338297","327829","2015-05-01"
"52062674","24289271","0","327829","2015-05-01"
"52062677","21819703","328918","327829","2015-05-01"
"52062680","24289280","0","327829","2015-05-01"
"52062683","21819736","328918","327829","2015-05-01"
"52062686","21819760","328918","327829","2015-05-01"
"52062689","24414197","328918","327829","2015-05-01"
"52062692","21819781","328918","327829","2015-05-01"
"52062695","24487511","328918","327829","2015-05-01"
"52062698","21819835","328918","327829","2015-05-01"
"52062701","24503801","328918","327829","2015-05-01"
"52062704","21819877","328918","327829","2015-05-01"
"52062707","24384251","328918","327829","2015-05-01"
"52062710","21819892","328918","327829","2015-05-01"
"52062713","25656836","328918","327829","2015-05-01"
"52062716","21888790","328918","327829","2015-05-01"
"52062734","21818440","338297","327829","2015-05-09"
"52201792","26303413","0","397304","2015-05-30"
"52440925","19607058","397304","403501","2015-06-08"
"52440931","20486326","397304","403501","2015-06-08"
"52440934","20509930","397304","403501","2015-06-08"
"52440937","20510275","397304","403501","2015-06-08"
"52440940","20512942","397304","403501","2015-06-08"
"52440943","20565319","397304","403501","2015-06-08"
"52440946","24289301","397304","403501","2015-06-08"
"52440949","24289304","397304","403501","2015-06-08"
"52440952","24289307","397304","403501","2015-06-08"
"52440955","24289310","397304","403501","2015-06-08"
"52440958","24289313","397304","403501","2015-06-08"
"52440961","26303413","397304","403501","2015-06-08"
"52440964","24289316","397304","403501","2015-06-08"
"52440967","24289319","397304","403501","2015-06-08"
"52440970","24289322","397304","403501","2015-06-08"
"52440973","24289325","397304","403501","2015-06-08"
"52440976","24289328","397304","403501","2015-06-08"
"52440979","24289331","397304","403501","2015-06-08"
"52440982","26093408","397304","403501","2015-06-08"
"52440985","24289334","397304","403501","2015-06-08"
"52440988","24289337","397304","403501","2015-06-08"
"52440991","24289340","397304","403501","2015-06-08"
"52440994","24289343","397304","403501","2015-06-08"
"52440997","24289346","397304","403501","2015-06-08"
"52441000","24289349","397304","403501","2015-06-08"
"52441003","24289352","397304","403501","2015-06-08"
"52441006","24289355","397304","403501","2015-06-08"
"52441009","25731950","397304","403501","2015-06-08"
"52441012","24289358","397304","403501","2015-06-08"
"52441015","24289361","397304","403501","2015-06-08"
"52441018","24289364","397304","403501","2015-06-08"
"52441021","24289367","397304","403501","2015-06-08"
"52441024","24289370","397304","403501","2015-06-08"
"52441027","24289373","397304","403501","2015-06-08"
"52441030","24289376","397304","403501","2015-06-08"
"52441033","24289379","397304","403501","2015-06-08"
"52441036","24289382","397304","403501","2015-06-08"
"52441039","24289385","397304","403501","2015-06-08"
"52441042","24289388","397304","403501","2015-06-08"
"52441045","24289391","397304","403501","2015-06-08"
"52441048","24289394","397304","403501","2015-06-08"
"52441051","24289397","397304","403501","2015-06-08"
"52441054","24289400","397304","403501","2015-06-08"
"52441057","24513113","397304","403501","2015-06-08"
"52441060","24513116","397304","403501","2015-06-08"
"52441063","24513119","397304","403501","2015-06-08"
"52441066","24513122","397304","403501","2015-06-08"
"52441069","24513125","397304","403501","2015-06-08"
"52441072","24513128","397304","403501","2015-06-08"
"52441075","24513131","397304","403501","2015-06-08"
"52441078","24513134","397304","403501","2015-06-08"
"52441081","24513137","397304","403501","2015-06-08"
"52441084","24513140","397304","403501","2015-06-08"
"52441087","24513143","397304","403501","2015-06-08"
"52441090","24513146","397304","403501","2015-06-08"
"52441093","24513149","397304","403501","2015-06-08"
"52441096","24513152","397304","403501","2015-06-08"
"52441099","24513155","397304","403501","2015-06-08"
"52441102","24513158","397304","403501","2015-06-08"
"52441105","24513161","397304","403501","2015-06-08"
"52441108","24513164","397304","403501","2015-06-08"
"52441111","24513167","397304","403501","2015-06-08"
"52441114","24513170","397304","403501","2015-06-08"
"52441117","24513173","397304","403501","2015-06-08"
"52441120","24513176","397304","403501","2015-06-08"
"52441123","24513179","397304","403501","2015-06-08"
"52441126","24513182","397304","403501","2015-06-08"
"52441129","24513185","397304","403501","2015-06-08"
"52441132","24513188","397304","403501","2015-06-08"
"52441135","24513191","397304","403501","2015-06-08"
"52441138","24513194","397304","403501","2015-06-08"
"52441141","25731950","397304","403501","2015-06-08"
"52441144","26030210","397304","403501","2015-06-08"
"52441147","26030204","397304","403501","2015-06-08"
"52441150","26030210","397304","403501","2015-06-08"
"52441153","26093408","397304","403501","2015-06-08"
"52441156","26303413","397304","403501","2015-06-08"
"53335531","24289271","327829","338297","2015-07-09"
"53335534","24289280","327829","338297","2015-07-09"
"53335537","24299582","327829","338297","2015-07-09"
"53335540","24384251","327829","338297","2015-07-09"
"53335543","24414197","327829","338297","2015-07-09"
"53335546","24487511","327829","338297","2015-07-09"
"53335549","24503801","327829","338297","2015-07-09"
"53335552","23204550","328918","338297","2015-06-10"
"53335555","23204553","328918","338297","2015-06-10"
"53335558","23394207","328918","338297","2015-06-10"
"53335561","23911661","328918","338297","2015-06-10"
"53524345","26016308","328918","","2015-07-28"
"53524348","21818440","327829","","2015-07-28"
"53524381","22603223","338297","328918",""
"54152302","22294328","342386","328918","2015-05-15"
"54152311","22294328","328918","342386","2015-08-01"
"54315085","25870592","328918","338297","2015-08-27"
"54414274","27330187","0","328918","2015-08-28"
"54414277","27330190","0","328918","2015-08-28"
"54414280","27330193","0","328918","2015-08-28"
"54414283","27330196","0","328918","2015-08-28"
"54414286","27330199","0","328918","2015-08-28"
"54414289","27330202","0","328918","2015-08-28"
"54414292","27330205","0","328918","2015-08-28"
"54414295","27330208","0","328918","2015-08-28"
"54414298","27330211","0","328918","2015-08-28"
"54414301","27330214","0","328918","2015-08-28"
"54414304","27330217","0","328918","2015-08-28"
"54414307","27330220","0","328918","2015-08-28"
"54414310","27330223","0","328918","2015-08-28"
"54414313","27330226","0","328918","2015-08-28"
"54414316","27330229","0","328918","2015-08-28"
"54414319","27330232","0","328918","2015-08-28"
"54547545","20493553","328918","","2015-09-09"
"56083023","25953590","328918","","2015-10-29"
"56318502","28004406","0","403501","2015-11-05"
"56466132","28060449","0","403501","2015-11-10"
"56997546","28221609","0","403501","2015-11-26"
"56997648","28221618","0","403501","2015-11-26"
"56999997","19607058","403501","328918","2015-11-16"
"57000003","20486326","403501","328918","2015-11-16"
"57000006","20509930","403501","328918","2015-11-16"
"57000009","20510275","403501","328918","2015-11-16"
"57000012","20512942","403501","328918","2015-11-16"
"57000015","20565319","403501","328918","2015-11-16"
"57000018","21818383","327829","328918","2015-11-16"
"57000021","21818413","327829","328918","2015-11-16"
"57000024","21819703","327829","328918","2015-11-16"
"57000027","21819736","327829","328918","2015-11-16"
"57000030","21819760","327829","328918","2015-11-16"
"57000033","21819781","327829","328918","2015-11-16"
"57000036","21819835","327829","328918","2015-11-16"
"57000039","21819877","327829","328918","2015-11-16"
"57000042","21819892","327829","328918","2015-11-16"
"57000045","21888790","327829","328918","2015-11-16"
"57000048","22741778","327829","328918","2015-11-16"
"57000051","22741802","327829","328918","2015-11-16"
"57000054","22741808","327829","328918","2015-11-16"
"57000057","22741982","327829","328918","2015-11-16"
"57000060","22741985","327829","328918","2015-11-16"
"57000063","24253490","0","328918","2015-11-16"
"57000066","28186509","0","328918","2015-11-16"
"57000069","24289301","403501","328918","2015-11-16"
"57000072","24289304","403501","328918","2015-11-16"
"57000075","24289307","403501","328918","2015-11-16"
"57000078","28060449","403501","328918","2015-11-16"
"57000081","24289310","403501","328918","2015-11-16"
"57000084","24289313","403501","328918","2015-11-16"
"57000087","26303413","403501","328918","2015-11-16"
"57000090","24289316","403501","328918","2015-11-16"
"57000093","24289319","403501","328918","2015-11-16"
"57000096","24289322","403501","328918","2015-11-16"
"57000099","27189475","0","328918","2015-11-16"
"57000102","24289325","403501","328918","2015-11-16"
"57000105","28109409","0","328918","2015-11-16"
"57000108","24289328","403501","328918","2015-11-16"
"57000111","24289331","403501","328918","2015-11-16"
"57000114","26093408","403501","328918","2015-11-16"
"57000117","24289334","403501","328918","2015-11-16"
"57000120","24289337","403501","328918","2015-11-16"
"57000123","24289340","403501","328918","2015-11-16"
"57000126","24289343","403501","328918","2015-11-16"
"57000129","24289346","403501","328918","2015-11-16"
"57000132","24289349","403501","328918","2015-11-16"
"57000135","28221609","403501","328918","2015-11-16"
"57000138","24289352","403501","328918","2015-11-16"
"57000141","28221618","403501","328918","2015-11-16"
"57000144","24289355","403501","328918","2015-11-16"
"57000147","25731950","403501","328918","2015-11-16"
"57000150","24289358","403501","328918","2015-11-16"
"57000153","24289361","403501","328918","2015-11-16"
"57000156","24289364","403501","328918","2015-11-16"
"57000159","24289367","403501","328918","2015-11-16"
"57000162","24289370","403501","328918","2015-11-16"
"57000165","24289373","403501","328918","2015-11-16"
"57000168","28004406","403501","328918","2015-11-16"
"57000171","24289376","403501","328918","2015-11-16"
"57000174","24289379","403501","328918","2015-11-16"
"57000177","24289382","403501","328918","2015-11-16"
"57000180","24289385","403501","328918","2015-11-16"
"57000183","24289388","403501","328918","2015-11-16"
"57000186","24289391","403501","328918","2015-11-16"
"57000189","24289394","403501","328918","2015-11-16"
"57000192","24289397","403501","328918","2015-11-16"
"57000195","24289400","403501","328918","2015-11-16"
"57000198","24513113","403501","328918","2015-11-16"
"57000201","24513116","403501","328918","2015-11-16"
