ID	EAR TAG	TYPE	SEX	DOB	BREED
24513191	3615B-PURPLE	COW	HEIFER	2014	BRANGUS
24513194	3615WB-PURPLE	COW	HEIFER	2014	BRANGUS
24513263	ANGUS BULL	BULL	BULL		
25315314	6C-WHITE	CALF	HEIFER	2015	CHAROLAIS
25315323	7C-WHITE	CALF	HEIFER	2015	CHAROLAIS
25315326	10C-WHITE	CALF	BULL	2015	CHAROLAIS
25382777	9C-WHITE	CALF	HEIFER	2015	CHAROLAIS
25384562	8C-WHITE	CALF	HEIFER	2015	CHAROLAIS
25578131	19C-WHITE	CALF	HEIFER	2015	CHAROLAIS
25578134	31C-WHITE	CALF	HEIFER	2015	COMMERCIAL
25656836	20C-WHITE	CALF	HEIFER	2015	CHAROLAIS
25675931	37C	CALF	BULL	2015	COMMERCIAL
25689146	22C-WHITE	CALF	BULL	2015	CHAROLAIS
25759949	30C-WHITE	CALF	HEIFER	2015	COMMERCIAL
25760039	21C-WHITE	CALF	BULL	2015	CHAROLAIS
25806287	38C-WHITE	CALF	HEIFER	2015	COMMERCIAL
25807601	39C-WHITE	CALF	HEIFER	2015	COMMERCIAL
25823078	32C	CALF	BULL	2015	COMMERCIAL
25870592	35C	CALF		2015	COMMERCIAL
25873070	5C-WHITE	CALF	HEIFER	2015	CHAROLAIS
25971623	36C-WHITE	CALF	HEIFER	2015	COMMERCIAL
25984508	NEEDS TAG	CALF	HEIFER	2015	COMMERCIAL
25984688	26C	CALF	STEER	2015	COMMERCIAL
25984700	23C	CALF	STEER	2015	COMMERCIAL
26028827	41C	CALF	HEIFER	2015	COMMERCIAL
26028932	47C	CALF	BULL	2015	COMMERCIAL
26030204	5-WHITE	COW	HEIFER	2014	COMMERCIAL
26031119	24C-WHITE	CALF	HEIFER	2015	COMMERCIAL
26062430	NEEDS TAGGING	CALF	BULL	2015	COMMERCIAL
26062436	NEEDS TAGGING	CALF		2015	COMMERCIAL
26076857	43C	CALF	BULL	2015	COMMERCIAL
26092043	46C	CALF		2015	COMMERCIAL
26093408	NEEDS TAG	CALF		2015	COMMERCIAL
26303413	NEEDS TAGGING	CALF	HEIFER	2015	COMMERCIAL
27189475	NEEDS TAG	CALF		2015	COMMERCIAL
27330187	330-BLUE	COW	HEIFER	2014	BRANGUS
27330190	8-BLUE	COW	HEIFER	2014	BRANGUS
27330193	334-BLUE	COW	HEIFER	2014	BRANGUS
27330196	1-BLUE	COW	HEIFER	2014	BRANGUS
27330199	333-BLUE	COW	HEIFER	2014	BRANGUS
27330202	383-BLUE	COW	HEIFER	2014	BRANGUS
27330205	328-BLUE	COW	HEIFER	2014	BRANGUS
27330208	336-BLUE	COW	HEIFER	2014	BRANGUS
27330211	47-BLUE	COW	HEIFER	2014	BRANGUS
27330214	369-BLUE	COW	HEIFER	2014	BRANGUS
27330217	344-BLUE	COW	HEIFER	2014	BRANGUS
27330220	370-BLUE	COW	HEIFER	2014	BRANGUS
27330223	378-BLUE	COW	HEIFER	2014	BRANGUS
27330226	1477-BLUE	COW	HEIFER	2014	BRANGUS
27330229	377-BLUE	COW	HEIFER	2014	BRANGUS
27330232	371-BLUE	COW	HEIFER	2014	BRANGUS
27897363	FAME	COW	HEIFER		COMMERCIAL
27897372	21/7	COW	HEIFER	2007	BRANGUS
27897378	11/7	COW	HEIFER	2007	BRAHMAN
27897384	228/5	COW	HEIFER	2005	BRAHMAN
