"id","animal_id","reporting_period","status","ced_epd","bw_epd","ww_epd","yw_epd","yh_epd","cem_epd","milk_epd","tm_epd","mww_epd","radg_epd","mw_epd","mh_epd","mg_epd","me_epd","sc_epd","hpg_epd","stay_epd","doc_epd","cw_epd","marb_epd","rea_epd","fat_epd","yg_epd","shear_epd","imf_epd","rump_epd","tend_epd","rp_epd","gl_epd","ced_acc","bw_acc","ww_acc","yw_acc","yh_acc","cem_acc","milk_acc","tm_acc","mww_acc","radg_acc","mw_acc","mh_acc","mg_acc","me_acc","sc_acc","hpg_acc","stay_acc","doc_acc","cw_acc","marb_acc","rea_acc","fat_acc","yg_acc","shear_acc","imf_acc","rump_acc","tend_acc","rp_acc","gl_acc","en_idx","w_idx","f_idx","g_idx","yg_idx","b_idx","bmi_idx","cez_idx","bii_idx","chb_idx","ap_idx","t_idx","mt_idx","qg_idx","dtf_epd","dtf_acc","cv_idx","carcass_idx","growth_idx","maternal_idx","udder_epd","udder_acc","teat_epd","teat_acc","dmi_epd","dmi_acc","scf_epd","scf_acc"
"4937900","22741808","Fall 2014","Int","68.0","1.3","39.0","69.0","","","16.0","","","","","","","","","","","","11.0","-0.32","0.36","-0.39","","","","","","","",".16",".35",".11",".08","","",".06","","","","","","","","","","","",".06",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6174117","28079226","EPDS Spring 2016","Act","58.0","1.1","40.0","74.0","","","17.8","38.0","","","","","","","","","","","13.0","0.06","0.35","-0.18","","","","","","","",".14",".34",".13",".1","","",".07",".09","","","","","","","","","","",".07",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6353688","24487511","","","","2.5","36.8","71.6","","","16.4","","34.8","","","","","","","","","","","-0.18","0.31","-0.22","","","","","","","","","PE","PE","PE","","","PE","","PE","","","","","","","","","","","PE","PE","PE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6365637","24289280","EPDS Spring 2016","PE","68.0","2.3","36.0","71.0","","","17.8","","35.8","","","","","","","","","","","-0.14","0.34","-0.04","","","","","","","","60","65","85","80","","","85","","PE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6456543","25760039","EPDS Spring 2016","PE","83.0","0.7","36.0","67.0","","","20.5","39.0","","","","","","","","","","","11.0","-0.32","0.39","-0.15","","","","","","","","35","35","85","90","","","60","80","","","","","","","","","","","85","85","60","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6457443","28079223","EPDS Spring 2016","Act","79.0","1.6","41.0","78.0","","","13.2","34.0","","","","","","","","","","","14.0","0.04","0.32","0.1","","","","","","","",".14",".33",".19",".10","","",".07",".11","","","","","","","","","","","70",".05",".05",".07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6457446","28079175","EPDS Spring 2016","Act","19.0","5.7","55.0","102.0","","","20.3","48.0","","","","","","","","","","","28.0","0.14","0.59","-0.1","","","","","","","",".16",".37",".13",".1","","",".07",".09","","","","","","","","","","",".07",".05",".05","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6465009","31252140","EPDS Spring 2016","Act","30.0","3.4","40.0","74.0","","","16.8","37.0","","","","","","","","","","","15.0","-0.3","0.4","-0.74","","","","","","","",".16",".36",".2",".09","","",".09",".13","","","","","","","","","","",".07",".05","0.05","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6484359","28079214","EPDS Spring 2016","Act","69.0","1.1","31.0","62.0","","","22.8","38.0","","","","","","","","","","","10.0","-0.33","0.37","-0.48","","","","","","","",".15",".36",".2",".07","","",".06",".11","","","","","","","","","","",".07",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6484362","28079217","EPDS Spring 2016","Act","71.0","1.1","39.0","75.0","","","20.3","40.0","","","","","","","","","","","14.0","-0.11","0.41","-0.23","","","","","","","",".15",".36",".2",".07","","",".07",".11","","","","","","","","","","",".07","0.05",".05","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6484365","28079202","EPDS Spring 2016","Act","70.0","1.0","43.0","79.0","","","22.2","","","","","","","","","","","","15.0","-0.11","0.44","-0.05","","","","","","","",".15",".36",".2",".06","","",".06","","","","","","","","","","","",".07",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6484368","28165191","EPDS Spring 2016","Act","69.0","1.7","42.0","79.0","","","21.3","42.0","","","","","","","","","","","16.0","-0.16","0.35","0.0","","","","","","","",".15",".36",".21",".09","","",".07",".12","","","","","","","","","","",".07",".05",".05",".08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6488037","28079232","EPDS Spring 2016","Act","60.0","1.9","40.0","75.0","","","18.7","39.0","","","","","","","","","","","14.0","0.06","0.31","0.0","","","","","","","",".14",".33",".12",".09","","",".06",".08","","","","","","","","","","",".06",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6488040","25315326","EPDS Spring 2016","PE","82.0","0.7","34.0","66.0","","","21.0","38.0","","","","","","","","","","","11.0","-0.16","0.37","-0.19","","","","","","","","PE","PE","PE","PE","","","PE","PE","","","","","","","","","","","PE","PE","PE","PE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7346079","28079220","","","88.5","-0.5","32.0","65.0","","","20.0","","","","","","","","","","","","","","","","","","","","","","",".15",".35",".16",".05","","",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7346082","28079205","","","77.0","2.5","38.0","72.0","","","17.0","","","","","","","","","","","","","","","","","","","","","","",".18",".35",".19",".09","","",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7346085","28079199","","","90.3","-0.1","28.0","58.0","","","33.0","","","","","","","","","","","","","","","","","","","","","","",".15",".36",".16",".05","","",".09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7346088","28079229","","","66.6","1.2","42.0","76.0","","","17.0","","","","","","","","","","","","","","","","","","","","","","",".14",".33",".11",".09","","",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
